CIK,Name,Ex
1090872,Agilent Technologies Inc,dosenot
4281,Alcoa Inc,dosenot
1332552,Asia Automotive Acquisition Corp,No 10-k
1287145,Asia Broadband Inc,No 10-k
1024015,Access Anytime Bancorp Inc,No 10-k
1099290,Sinocoking Coal & Coke Chemical Industries Inc,dosenot
1264707,Asset Acceptance Capital Corp,dosenot
849116,Ace Cash Express Inc,No 10-k
1409430,All American Gold Corp,dosenot
948846,Airtran Holdings Inc,dosenot
1013243,Aaipharma Inc,No 10-k
1303849,Avantair Inc,dosenot
6201,American Airlines Group Inc,dosenot
852015,American Asset Management Corp,No 10-k
1555074,Altisource Asset Management Corp,dosenot
8177,Atlantic American Corp,dosenot
1281629,Adera Mines LTD,No 10-k
1123648,American Ammunition Inc,No 10-k
706688,Aarons Inc,dosenot
356809,Abigail Adams National Bancorp Inc,No 10-k
933955,Amedia Networks Inc,No 10-k
1158114,Applied Optoelectronics Inc,dosenot
824142,Aaon Inc,No 10-k
1305748,Healthcare Providers Direct Inc,No 10-k
1158449,Advance Auto Parts Inc,dosenot
1040482,American Petro-hunter Inc,No 10-k
320193,Apple Inc,dosenot
1362502,All American Pet Company Inc,dosenot
1424864,Patriot Minefinders Inc,dosenot
1411058,Asia Atlantic Resources,dosenot
930245,All American Sportpark Inc,dosenot
703701,Ushealth Group Inc,No 10-k
1500217,American Assets Trust Inc,dosenot
1104042,Advanced Analogic Technologies Inc,No 10-k
1419260,Andina Group Inc,No 10-k
1077319,Avstar Aviation Group Inc,dosenot
1358940,Aamaxan Transport Group Inc,No 10-k
801558,Cannon Express Inc,No 10-k
825313,Alliancebernstein Holding LP,dosenot
745651,Advanced Battery Technologies Inc,dosenot
881890,Abaxis Inc,dosenot
1428802,Auburn Bancorp Inc,dosenot
1292898,Abington Community Bancorp Inc,No 10-k
1397533,Abington Bancorp Inc,dosenot
812146,Abington Bancorp Inc,No 10-k
1551152,Abbvie Inc,dosenot
1140859,Amerisourcebergen Corp,dosenot
351569,Ameris Bancorp,dosenot
1009624,Wherevertv Broadcasting Corp,No 10-k
1466815,Cambium Learning Group Inc,dosenot
1157377,Advisory Board Co,dosenot
20639,Ambase Corp,dosenot
1490700,Varca Ventures Inc,dosenot
1528234,Abc Records Management & Data Storage Inc,dosenot
885322,Anchor Bancorp Wisconsin Inc,dosenot
812805,Atlantis Technology Group,No 10-k
841071,Dominion Diamond Corp,No 10-k
1297533,Airbee Wireless Inc,No 10-k
3000,Airborne Inc,No 10-k
772349,American Business Financial Services Inc,No 10-k
894405,Arkansas Best Corp,exists
1144980,Asbury Automotive Group Inc,dosenot
1036140,Assistglobal Technologies Corp,No 10-k
1052837,Abgenix Inc,No 10-k
1393066,Resolute Forest Products Inc,dosenot
1405858,Abtech Holdings Inc,dosenot
1052489,American Bank Note Holographics Inc,No 10-k
77551,Applied Biosystems Inc,No 10-k
1409012,Abraxis Bioscience Inc,No 10-k
845779,Abatix Corp,No 10-k
874501,Ambac Financial Group Inc,dosenot
1332044,American Basketball Association Inc,No 10-k
1400000,Abakan Inc,dosenot
4611,American Biltrite Inc,dosenot
1065728,Able Energy Inc,No 10-k
771497,Abm Industries Inc,dosenot
896747,American Bio Medica Corp,dosenot
815094,Abiomed Inc,dosenot
1385799,Advanced Biomedical Technologies Inc,dosenot
721238,American Bancorp Inc,No 10-k
1330039,American Bancorp Of New Jersey Inc,No 10-k
1140472,Alliance Bancshares California,No 10-k
1138862,Arbios Systems Inc,No 10-k
1342916,American Bonanza Resources Corp,No 10-k
1096182,Advanced Biophotonics Inc,No 10-k
1310094,Accentia Biopharmaceuticals Inc,dosenot
816958,Caspian International Oil Corp,No 10-k
1253986,Arbor Realty Trust Inc,dosenot
1923,Servidyne Inc,dosenot
803097,Sportsquest Inc,No 10-k
1112706,Canyon Copper Corp,dosenot
857171,Able Laboratories Inc,No 10-k
3333,Albertsons Inc,No 10-k
1355833,New Albertsons Inc,No 10-k
1204947,Giant Motorsports Inc,No 10-k
1800,Abbott Laboratories,dosenot
1023364,Autobytel Inc,dosenot
1435161,Ab&t Financial Corp,dosenot
1181001,Alliance Bankshares Corp,dosenot
1043533,Abovenet Inc,dosenot
1035632,Watley A B Group Inc,No 10-k
1002360,Absolute Potential Inc,dosenot
1304623,Aca Capital Holdings Inc,No 10-k
1070494,Acadia Pharmaceuticals Inc,dosenot
904020,Flyi Inc,No 10-k
1118148,American Physicians Capital Inc,No 10-k
1429896,Activecare Inc,dosenot
817473,American Capital LTD,dosenot
719866,Arctic Cat Inc,dosenot
1106980,American Community Bancshares Inc,No 10-k
1303476,American Community Bancorp Inc,No 10-k
1283630,American Campus Communities Inc,dosenot
1001463,Acacia Diversified Holdings Inc,dosenot
1002388,Accelrys Inc,dosenot
1388132,Hangover Joes Holding Corp,dosenot
318306,Access Pharmaceuticals Inc,dosenot
1041588,Access Power Inc,dosenot
1337566,Alternative Construction Company Inc,No 10-k
847917,Asconi Corp,No 10-k
1071941,Arcadia Resources Inc,dosenot
1068887,Accredo Health Inc,No 10-k
1390449,Arcade Acquisition Corp,No 10-k
896159,Ace LTD,dosenot
1017526,Ace Comm Corp,No 10-k
708717,Tamir Biotechnology Inc,dosenot
2034,Aceto Corp,dosenot
804269,General Motors Financial Company Inc,dosenot
1284077,Atlantic Coast Federal Corp,No 10-k
1404296,Atlantic Coast Financial Corp,dosenot
880984,Acorn Energy Inc,dosenot
816754,Alliancebernstein Income Fund Inc,No 10-k
949394,Amacore Group Inc,No 10-k
947484,Arch Capital Group LTD,dosenot
1520697,Acadia Healthcare Company Inc,dosenot
1132487,Americhip International Inc,No 10-k
1070336,Achillion Pharmaceuticals Inc,dosenot
1037676,Arch Coal Inc,dosenot
1138462,Acies Corp,No 10-k
1020998,Aci Telecentrics Inc,No 10-k
935036,Aci Worldwide Inc,dosenot
1109304,Armstrong Holdings Inc,No 10-k
1067588,Aclara Biosciences Inc,No 10-k
1324479,American Commercial Lines Inc,No 10-k
934445,Usmart Mobile Device Inc,dosenot
1113232,Axcelis Technologies Inc,dosenot
868857,Aecom Technology Corp,dosenot
934543,American Church Mortgage Co,dosenot
1092013,Acme Communications Inc,No 10-k
1483096,Access Midstream Partners LP,dosenot
1042809,Ac Moore Arts & Crafts Inc,dosenot
2062,Acmat Corp,No 10-k
1134538,Accenture LTD,No 10-k
1467373,Accenture PLC,exists
715579,Acnb Corp,dosenot
1123448,American Idc Corp,No 10-k
813621,Amcol International Corp,dosenot
1469433,Ancestrycom Inc,dosenot
1008848,Acorda Therapeutics Inc,dosenot
1503290,Avenue Income Credit Strategies Fund,No 10-k
1040599,Neenah Foundry Co,No 10-k
1044435,Active Power Inc,dosenot
787784,American Retirement Corp,No 10-k
1529377,Ares Commercial Real Estate Corp,dosenot
711307,Acr Group Inc,No 10-k
1228386,Acro Inc,dosenot
883296,Acrodyne Communications Inc,No 10-k
1497251,Acroboo Inc,dosenot
